comparedName;correlation;statistics W;p.value;confidence.interval.start;confidence.interval.end;estimate;p > 0.05
Cycl..Number;1;0;1;NaN;NaN;NaN;TRUE
Cycl..Density;0.994092216;0;0.001090835;-1.857976892;-0.539026668;-1.161055276;
Halstead.Bugs;0.999135564;2628;1.13E-13;0.001997794;0.00253372;0.0020376;
Halstead.Difficulty;0.999188008;212;0.353362803;-0.18799825;0.406942382;0.176566301;
Halstead.Effort;0.997214985;2350;6.06E-09;34.50095187;74.61748952;55.92763465;
Halstead.Length;0.999172829;2628;2.87E-15;1;1.000050215;1.000077515;
Halstead.Time;0.997214985;2350;6.06E-09;1.915991573;4.145495729;3.107365118;
Halstead.Vocabulary;0.998799998;378;3.71E-06;1.499986882;2.000072722;1.500004951;
Halstead.Identifiers.Distinct;0.999590273;105;0.000546069;2;3.000016874;2.000099199;
Halstead.Identifiers.Total;0.999798912;105;0.000659899;2;6.000034617;2.000056174;
Halstead.Identifiers.Distinct.1;0.999319832;91;0.000362568;NaN;NaN;1;
Halstead.Identifiers.Total.1;0.99870338;2628;2.87E-15;1;1.000052236;1.00005922;
LOC.Physical;1;0;1;NaN;NaN;NaN;
LOC.Logical;0.999672122;105;0.000657694;1;3.999953393;1.000057557;
Class.Maintainability;0.999509225;0;0.181449208;-2.943908115;-1.546091885;-2.127114909;
